title	content	tags	metadata
概念模型|Conceptual Model	概念模型是产品向用户呈现的系统运作方式。尽量与用户心智模型对齐，通过界面暗示和引导说明来建立。	ux,概念模型,设计,系统	style=principle
奥斯古德-施拉姆模型|Osgood-Schramm Model	传播循环模型：编码→解码→解释→反馈→编码。信息传达不是单向灌输，而是双向对话。界面是信息载体。	ux,传播,沟通,模型	style=principle
格式塔原理应用|Gestalt Principles	格式塔十原理在UI应用：接近性(相关元素靠近)、相似性(同类的用相同样式)、连续性(视线沿线条移动)、闭合性(自动补全图形)、焦点(独特元素被注意)、经验(熟悉模式优先)、对称性(平衡感)、共同区域(分组)	ux,格式塔,视觉感知,心理学	format=list
希克定律|Hick's Law	决策时间与选项数量对数成正比。选项越多，决策越慢。解决方案：分组、渐进披露、默认选项、智能推荐。	ux,希克定律,认知负荷,决策	style=principle
米勒定律|Miller's Law	人类短期记忆容量约7±2个信息块。分块策略：将大信息量拆分为3-5个组块，每块3-7项。	ux,米勒定律,记忆,认知	style=principle
菲茨定律|Fitts's Law	到达目标的时间与距离成正比，与目标大小成反比。应用：大按钮在边缘、常用功能靠近当前位置、目标足够大。	ux,菲茨定律,交互,可达性	style=principle
雅各布定律|Jakob's Law	用户将大部分时间花在别人的产品上，因此希望你的产品像其他产品一样运作。熟悉感降低学习成本。	ux,雅各布定律,学习成本,一致性	style=principle
防错原则|Poka-Yoke	防错三层次：消除(移除出错可能)、替代(改变流程)、减少(降低出错频率)。在用户犯错前预防，而非事后提示。	ux,防错,容错,设计	style=principle
错误处理|Error Handling	错误处理四步：错误提示(友好语言)、原因说明(发生了什么)、解决建议(如何修复)、恢复路径(撤销或重试)。	ux,错误,容错,反馈	style=principle
无障碍设计|Accessibility	无障碍设计八要点：替代文本、键盘导航、颜色对比度(4.5:1文本/3:1大文本)、焦点指示器、语义化HTML、ARIA标签、跳过链接、可缩放内容。	ux,无障碍,a11y,包容性	format=list
情感化设计|Emotional Design	情感化设计三层次：本能层(外观吸引)、行为层(使用愉悦)、反思层(个人意义)。好设计触动情感而非仅完成功能。	ux,情感化设计,诺曼,体验	style=principle
游戏化设计|Gamification	游戏化六要素：目标、规则、反馈、奖励、挑战、社交。Octalysis八核心动力框架：成就感、所有权、创造性、好奇心、拥有感、社交影响、稀缺性、使命感。	ux,游戏化,激励,参与度	format=list
说服式设计|Persuasive Design	说服式设计六原则：互惠、社会认同、承诺一致、权威、喜好、稀缺。Fogg行为模型：B=MAP(行为=动机+能力+触发)。	ux,说服式设计,行为,影响	format=list
微交互设计|Micro-interactions	微交互四要素：触发器、规则、反馈、循环与模式。作用：传达状态、增加愉悦、引导用户、避免错误。	ux,微交互,动效,细节	style=principle
响应式设计|Responsive Design	响应式设计三策略：移动优先、弹性布局、媒体查询。断点设置基于内容而非设备，常见320/768/1024/1440。	ux,响应式,移动,布局	style=principle
自适应设计|Adaptive Design	自适应设计多套布局：桌面、平板、手机各一套。根据视口加载对应布局，比响应式更精准但开发成本高。	ux,自适应,布局,多设备	style=principle
设计系统|Design System	设计系统四组件：设计原则、设计模式、设计令牌、文档规范。原子设计五层级：原子→分子→有机体→模板→页面。	ux,设计系统,组件化,规范	style=principle
设计模式库|Design Patterns	设计模式库三要素：模式名称、问题场景、解决方案。移动端模式：抽屉导航、底部标签、卡片列表、搜索+筛选、增量加载。	ux,设计模式,模式库,复用	format=list
设计评审|Design Review	设计评审五阶段：准备(明确评审目标)、预审(提前看稿)、开场(对齐标准)、评审(逐条讨论)、跟进(记录Action)。	ux,设计评审,协作,流程	style=principle
用户留存|User Retention	留存四阶段：激活(首次价值)、习惯(核心回访)、投入(沉没成本)、推荐(口碑传播)。留存曲线分析发现流失点。	ux,留存,生命周期,增长	style=principle
北极星指标|One Metric That Matters	北极星指标定义：唯一关键指标，代表产品为用户创造的核心价值。找到它需问：什么指标反映用户价值？什么指标驱动收入？	ux,指标,增长,北极星	style=principle
